Id,SimulationId,VectorId,NeedW,FactW,WheelNumber
17545,1780584401,7522,0.60,0.54,1
17546,1780584401,7522,-0.52,-0.44,2
17547,1780584401,7523,0.56,0.51,1
17548,1780584401,7523,-0.55,-0.41,2
17549,1780584401,7524,0.52,0.50,1
17550,1780584401,7524,-0.57,-0.52,2
17551,1780584401,7525,0.45,0.41,1
17552,1780584401,7525,-0.62,-0.54,2
17553,1780584401,7526,0.39,0.33,1
17554,1780584401,7526,-0.65,-0.54,2
17555,1780584401,7527,0.28,0.29,1
17556,1780584401,7527,-0.70,-0.62,2
17557,1780584401,7528,0.11,0.24,1
17558,1780584401,7528,-0.75,-0.61,2
17559,1780584401,7529,0.04,0.00,1
17560,1780584401,7529,-0.75,-0.65,2
17561,1780584401,7530,-0.18,0.41,1
17562,1780584401,7530,-0.74,-0.66,2
17563,1780584401,7531,-0.22,-0.34,1
17564,1780584401,7531,-0.72,-0.63,2
17565,1780584401,7532,-0.40,-0.33,1
17566,1780584401,7532,-0.64,-0.60,2
17567,1780584401,7533,-0.43,-0.37,1
17568,1780584401,7533,-0.62,-0.52,2
17569,1780584401,7534,-0.60,-0.47,1
17570,1780584401,7534,-0.46,-0.36,2
17571,1780584401,7535,-0.62,-0.56,1
17572,1780584401,7535,-0.43,-0.37,2
17573,1780584401,7536,-0.71,-0.57,1
17574,1780584401,7536,-0.25,-0.27,2
17575,1780584401,7537,-0.72,-0.62,1
17576,1780584401,7537,-0.22,-0.23,2
17577,1780584401,7538,-0.75,-0.65,1
17578,1780584401,7538,-0.09,-0.49,2
17579,1780584401,7539,-0.76,-0.65,1
17580,1780584401,7539,-0.04,-0.35,2
17581,1780584401,7540,-0.76,-0.65,1
17582,1780584401,7540,0.03,-0.15,2
17583,1780584401,7541,-0.76,-0.68,1
17584,1780584401,7541,0.07,0.22,2
17585,1780584401,7542,-0.75,-0.64,1
17586,1780584401,7542,0.11,0.21,2
17587,1780584401,7543,-0.75,-0.65,1
17588,1780584401,7543,0.15,0.15,2
17589,1780584401,7544,-0.74,-0.65,1
17590,1780584401,7544,0.16,0.22,2
17591,1780584401,7545,-0.73,-0.63,1
17592,1780584401,7545,0.21,0.19,2
17593,1780584401,7546,-0.73,-0.63,1
17594,1780584401,7546,0.21,-0.15,2
17595,1780584401,7547,-0.72,-0.63,1
17596,1780584401,7547,0.24,0.18,2
17597,1780584401,7548,-0.72,-0.63,1
17598,1780584401,7548,0.24,0.17,2
17599,1780584401,7549,-0.72,-0.64,1
17600,1780584401,7549,0.23,0.19,2
17601,1780584401,7550,-0.72,-0.62,1
17602,1780584401,7550,0.24,0.15,2
17603,1780584401,7551,-0.73,-0.62,1
17604,1780584401,7551,0.21,0.18,2
17605,1780584401,7552,-0.73,-0.65,1
17606,1780584401,7552,0.20,0.14,2
17607,1780584401,7553,-0.74,-0.66,1
17608,1780584401,7553,0.17,0.07,2
17609,1780584401,7554,-0.74,-0.68,1
17610,1780584401,7554,0.16,-0.35,2
17611,1780584401,7555,-0.75,-0.63,1
17612,1780584401,7555,0.12,0.10,2
17613,1780584401,7556,-0.75,-0.64,1
17614,1780584401,7556,0.09,-0.33,2
17615,1780584401,7557,-0.76,-0.64,1
17616,1780584401,7557,0.06,-0.19,2
17617,1780584401,7558,-0.76,-0.65,1
17618,1780584401,7558,-0.01,-0.62,2
17619,1780584401,7559,-0.76,-0.65,1
17620,1780584401,7559,-0.03,-0.42,2
17621,1780584401,7560,-0.75,-0.64,1
17622,1780584401,7560,-0.13,-0.20,2
17623,1780584401,7561,-0.74,-0.66,1
17624,1780584401,7561,-0.15,0.34,2
17625,1780584401,7562,-0.69,-0.60,1
17626,1780584401,7562,-0.30,-0.31,2
